Entrez Gene ID,Gene Name,Description
1630,DCC,DCC netrin 1 receptor
1634,DCN,decorin
1643,DDB2,"damage-specific DNA binding protein 2, 48kDa"
1647,GADD45A,"growth arrest and DNA-damage-inducible, alpha"
1654,DDX3X,"DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked"
1672,DEFB1,"defensin, beta 1"
1676,DFFA,"DNA fragmentation factor, 45kDa, alpha polypeptide"
1687,DFNA5,"deafness, autosomal dominant 5"
1739,DLG1,"discs, large homolog 1 (Drosophila)"
1755,DMBT1,deleted in malignant brain tumors 1
1756,DMD,dystrophin
1786,DNMT1,DNA (cytosine-5-)-methyltransferase 1
1788,DNMT3A,DNA (cytosine-5-)-methyltransferase 3 alpha
1789,DNMT3B,DNA (cytosine-5-)-methyltransferase 3 beta
1796,DOK1,"docking protein 1, 62kDa (downstream of tyrosine kinase 1)"
1801,DPH1,diphthamide biosynthesis 1
1803,DPP4,dipeptidyl-peptidase 4
1825,DSC3,desmocollin 3
1832,DSP,desmoplakin
1843,DUSP1,dual specificity phosphatase 1
1847,DUSP5,dual specificity phosphatase 5
1848,DUSP6,dual specificity phosphatase 6
1852,DUSP9,dual specificity phosphatase 9
1869,E2F1,E2F transcription factor 1
1870,E2F2,E2F transcription factor 2
1871,E2F3,E2F transcription factor 3
1894,ECT2,epithelial cell transforming 2
1910,EDNRB,endothelin receptor type B
1915,EEF1A1,eukaryotic translation elongation factor 1 alpha 1
1946,EFNA5,ephrin-A5
1958,EGR1,early growth response 1
1959,EGR2,early growth response 2
1969,EPHA2,EPH receptor A2
2012,EMP1,epithelial membrane protein 1
2013,EMP2,epithelial membrane protein 2
2034,EPAS1,endothelial PAS domain protein 1
2035,EPB41,erythrocyte membrane protein band 4.1
2041,EPHA1,EPH receptor A1
2042,EPHA3,EPH receptor A3
2048,EPHB2,EPH receptor B2
2049,EPHB3,EPH receptor B3
2050,EPHB4,EPH receptor B4
2051,EPHB6,EPH receptor B6
2066,ERBB4,erb-b2 receptor tyrosine kinase 4
2070,EYA4,EYA transcriptional coactivator and phosphatase 4
2077,ERF,Ets2 repressor factor
2099,ESR1,estrogen receptor 1
2100,ESR2,estrogen receptor 2 (ER beta)
2103,ESRRB,estrogen-related receptor beta
2114,ETS2,v-ets avian erythroblastosis virus E26 oncogene homolog 2
2120,ETV6,ets variant 6
2131,EXT1,exostosin glycosyltransferase 1
2132,EXT2,exostosin glycosyltransferase 2
2134,EXTL1,exostosin-like glycosyltransferase 1
2135,EXTL2,exostosin-like glycosyltransferase 2
2137,EXTL3,exostosin-like glycosyltransferase 3
2145,EZH1,enhancer of zeste 1 polycomb repressive complex 2 subunit
2146,EZH2,enhancer of zeste 2 polycomb repressive complex 2 subunit
2170,FABP3,"fatty acid binding protein 3, muscle and heart"
2189,FANCG,"Fanconi anemia, complementation group G"
2192,FBLN1,fibulin 1
2195,FAT1,FAT atypical cadherin 1
2203,FBP1,"fructose-1, 6-bisphosphatase 1"
2262,GPC5,glypican 5
2271,FH,fumarate hydratase
2272,FHIT,fragile histidine triad
2273,FHL1,four and a half LIM domains 1
2296,FOXC1,forkhead box C1
2308,FOXO1,forkhead box O1
2309,FOXO3,forkhead box O3
2316,FLNA,"filamin A, alpha"
2322,FLT3,fms-related tyrosine kinase 3
2395,FXN,frataxin
2444,FRK,fyn-related Src family tyrosine kinase
2521,FUS,FUS RNA binding protein
2587,GALR1,galanin receptor 1
2619,GAS1,growth arrest-specific 1
2626,GATA4,GATA binding protein 4
2633,GBP1,"guanylate binding protein 1, interferon-inducible"
2697,GJA1,"gap junction protein, alpha 1, 43kDa"
2706,GJB2,"gap junction protein, beta 2, 26kDa"
2719,GPC3,glypican 3
2735,GLI1,GLI family zinc finger 1
2779,GNAT1,"guanine nucleotide binding protein (G protein), alpha transducing activity polypeptide 1"
2810,SFN,stratifin
2878,GPX3,glutathione peroxidase 3
2903,GRIN2A,"glutamate receptor, ionotropic, N-methyl D-aspartate 2A"
2932,GSK3B,glycogen synthase kinase 3 beta
2934,GSN,gelsolin
2950,GSTP1,glutathione S-transferase pi 1
2952,GSTT1,glutathione S-transferase theta 1
2972,BRF1,"BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit"
2984,GUCY2C,guanylate cyclase 2C
3014,H2AFX,"H2A histone family, member X"
3065,HDAC1,histone deacetylase 1
3090,HIC1,hypermethylated in cancer 1
3091,HIF1A,"hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
3094,HINT1,histidine triad nucleotide binding protein 1
3096,HIVEP1,human immunodeficiency virus type I enhancer binding protein 1
3104,ZBTB48,zinc finger and BTB domain containing 48
3164,NR4A1,"nuclear receptor subfamily 4, group A, member 1"
3169,FOXA1,forkhead box A1
3170,FOXA2,forkhead box A2
3172,HNF4A,"hepatocyte nuclear factor 4, alpha"
3175,ONECUT1,one cut homeobox 1
3248,HPGD,hydroxyprostaglandin dehydrogenase 15-(NAD)
3273,HRG,histidine-rich glycoprotein
3329,HSPD1,heat shock 60kDa protein 1 (chaperonin)
3337,DNAJB1,"DnaJ (Hsp40) homolog, subfamily B, member 1"
3394,IRF8,interferon regulatory factor 8
3400,ID4,"inhibitor of DNA binding 4, dominant negative helix-loop-helix protein"
3417,IDH1,"isocitrate dehydrogenase 1 (NADP+), soluble"
3428,IFI16,"interferon, gamma-inducible protein 16"
3479,IGF1,insulin-like growth factor 1 (somatomedin C)
3482,IGF2R,insulin-like growth factor 2 receptor
3483,IGFALS,"insulin-like growth factor binding protein, acid labile subunit"
3486,IGFBP3,insulin-like growth factor binding protein 3
3487,IGFBP4,insulin-like growth factor binding protein 4
3488,IGFBP5,insulin-like growth factor binding protein 5
3490,IGFBP7,insulin-like growth factor binding protein 7
3579,CXCR2,chemokine (C-X-C motif) receptor 2
3605,IL17A,interleukin 17A
3611,ILK,integrin-linked kinase
3621,ING1,"inhibitor of growth family, member 1"
3622,ING2,"inhibitor of growth family, member 2"
3627,CXCL10,chemokine (C-X-C motif) ligand 10
3651,PDX1,pancreatic and duodenal homeobox 1
3659,IRF1,interferon regulatory factor 1
3661,IRF3,interferon regulatory factor 3
3662,IRF4,interferon regulatory factor 4
3663,IRF5,interferon regulatory factor 5
3678,ITGA5,"integrin, alpha 5 (fibronectin receptor, alpha polypeptide)"
3679,ITGA7,"integrin, alpha 7"
3685,ITGAV,"integrin, alpha V"
3688,ITGB1,"integrin, beta 1 (fibronectin receptor, beta polypeptide, antigen CD29 includes MDF2, MSK12)"
3690,ITGB3,"integrin, beta 3 (platelet glycoprotein IIIa, antigen CD61)"
3728,JUP,junction plakoglobin
3732,CD82,CD82 molecule
3814,KISS1,KiSS-1 metastasis-suppressor
3880,KRT19,"keratin 19, type I"
3963,LGALS7,"lectin, galactoside-binding, soluble, 7"
3977,LIFR,leukemia inhibitory factor receptor alpha
3996,LLGL1,lethal giant larvae homolog 1 (Drosophila)
4013,VWA5A,von Willebrand factor A domain containing 5A
4015,LOX,lysyl oxidase
4033,LRMP,lymphoid-restricted membrane protein
4045,LSAMP,limbic system-associated membrane protein
4057,LTF,lactotransferrin
4082,MARCKS,myristoylated alanine-rich protein kinase C substrate
4087,SMAD2,SMAD family member 2
4089,SMAD4,SMAD family member 4
4118,MAL,"mal, T-cell differentiation protein"
4144,MAT2A,"methionine adenosyltransferase II, alpha"
4149,MAX,MYC associated factor X
4163,MCC,mutated in colorectal cancers
4216,MAP3K4,mitogen-activated protein kinase kinase kinase 4
4221,MEN1,multiple endocrine neoplasia I
4292,MLH1,mutL homolog 1
4303,FOXO4,forkhead box O4
4311,MME,membrane metallo-endopeptidase
4335,MNT,MAX network transcriptional repressor
4436,MSH2,mutS homolog 2
4477,MSMB,"microseminoprotein, beta-"
4485,MST1,macrophage stimulating 1
4486,MST1R,macrophage stimulating 1 receptor
4494,MT1F,metallothionein 1F
4495,MT1G,metallothionein 1G
4499,MT1M,metallothionein 1M
4502,MT2A,metallothionein 2A
4507,MTAP,methylthioadenosine phosphorylase
4601,MXI1,"MAX interactor 1, dimerization protein"
4616,GADD45B,"growth arrest and DNA-damage-inducible, beta"
4627,MYH9,"myosin, heavy chain 9, non-muscle"
4640,MYO1A,myosin IA
4683,NBN,nibrin
4692,NDN,"necdin, melanoma antigen (MAGE) family member"
4734,NEDD4,"neural precursor cell expressed, developmentally down-regulated 4, E3 ubiquitin protein ligase"
4763,NF1,neurofibromin 1
4771,NF2,neurofibromin 2 (merlin)
4773,NFATC2,"nuclear factor of activated T-cells, cytoplasmic, calcineurin-dependent 2"
4790,NFKB1,nuclear factor of kappa light polypeptide gene enhancer in B-cells 1
4804,NGFR,nerve growth factor receptor
4814,NINJ1,ninjurin 1
4824,NKX3-1,NK3 homeobox 1
4826,NNAT,neuronatin
4830,NME1,NME/NM23 nucleoside diphosphate kinase 1
4849,CNOT3,"CCR4-NOT transcription complex, subunit 3"
4851,NOTCH1,notch 1
4853,NOTCH2,notch 2
4854,NOTCH3,notch 3
4856,NOV,nephroblastoma overexpressed
4862,NPAS2,neuronal PAS domain protein 2
4869,NPM1,"nucleophosmin (nucleolar phosphoprotein B23, numatrin)"
4897,NRCAM,neuronal cell adhesion molecule
4899,NRF1,nuclear respiratory factor 1
4916,NTRK3,"neurotrophic tyrosine kinase, receptor, type 3"
4920,ROR2,receptor tyrosine kinase-like orphan receptor 2
4921,DDR2,discoidin domain receptor tyrosine kinase 2
4928,NUP98,nucleoporin 98kDa
4978,OPCML,opioid binding protein/cell adhesion molecule-like
5037,PEBP1,phosphatidylethanolamine binding protein 1
5047,PAEP,progestagen-associated endometrial protein
5048,PAFAH1B1,"platelet-activating factor acetylhydrolase 1b, regulatory subunit 1 (45kDa)"
5071,PARK2,parkin RBR E3 ubiquitin protein ligase
5074,PAWR,"PRKC, apoptosis, WT1, regulator"
5078,PAX4,paired box 4
5079,PAX5,paired box 5
5080,PAX6,paired box 6
5098,PCDHGC3,"protocadherin gamma subfamily C, 3"
5100,PCDH8,protocadherin 8
5101,PCDH9,protocadherin 9
5157,PDGFRL,platelet-derived growth factor receptor-like
5178,PEG3,paternally expressed 3
5196,PF4,platelet factor 4
5216,PFN1,profilin 1
5241,PGR,progesterone receptor
5245,PHB,prohibitin
5268,SERPINB5,"serpin peptidase inhibitor, clade B (ovalbumin), member 5"
5276,SERPINI2,"serpin peptidase inhibitor, clade I (pancpin), member 2"
5300,PIN1,"peptidylprolyl cis/trans isomerase, NIMA-interacting 1"
5310,PKD1,polycystic kidney disease 1 (autosomal dominant)
5316,PKNOX1,PBX/knotted 1 homeobox 1
5320,PLA2G2A,"phospholipase A2, group IIA (platelets, synovial fluid)"
5325,PLAGL1,pleiomorphic adenoma gene-like 1
5331,PLCB3,"phospholipase C, beta 3 (phosphatidylinositol-specific)"
5333,PLCD1,"phospholipase C, delta 1"
5337,PLD1,"phospholipase D1, phosphatidylcholine-specific"
5347,PLK1,polo-like kinase 1
5371,PML,promyelocytic leukemia
5411,PNN,"pinin, desmosome associated protein"
5414,Sep-04,septin 4
5465,PPARA,peroxisome proliferator-activated receptor alpha
5468,PPARG,peroxisome proliferator-activated receptor gamma
5494,PPM1A,"protein phosphatase, Mg2+/Mn2+ dependent, 1A"
5499,PPP1CA,"protein phosphatase 1, catalytic subunit, alpha isozyme"
5515,PPP2CA,"protein phosphatase 2, catalytic subunit, alpha isozyme"
5516,PPP2CB,"protein phosphatase 2, catalytic subunit, beta isozyme"
5519,PPP2R1B,"protein phosphatase 2, regulatory subunit A, beta"
5522,PPP2R2C,"protein phosphatase 2, regulatory subunit B, gamma"
5524,PPP2R4,"protein phosphatase 2A activator, regulatory subunit 4"
5527,PPP2R5C,"protein phosphatase 2, regulatory subunit B', gamma"
5533,PPP3CC,"protein phosphatase 3, catalytic subunit, gamma isozyme"
5562,PRKAA1,"protein kinase, AMP-activated, alpha 1 catalytic subunit"
5563,PRKAA2,"protein kinase, AMP-activated, alpha 2 catalytic subunit"
5573,PRKAR1A,"protein kinase, cAMP-dependent, regulatory, type I, alpha"
5579,PRKCB,"protein kinase C, beta"
5580,PRKCD,"protein kinase C, delta"
5581,PRKCE,"protein kinase C, epsilon"
5601,MAPK9,mitogen-activated protein kinase 9
5602,MAPK10,mitogen-activated protein kinase 10
5625,PRODH,proline dehydrogenase (oxidase) 1
5629,PROX1,prospero homeobox 1
5653,KLK6,kallikrein-related peptidase 6
5654,HTRA1,HtrA serine peptidase 1
5655,KLK10,kallikrein-related peptidase 10
5727,PTCH1,patched 1
5728,PTEN,phosphatase and tensin homolog
5729,PTGDR,prostaglandin D2 receptor (DP)
5770,PTPN1,"protein tyrosine phosphatase, non-receptor type 1"
5771,PTPN2,"protein tyrosine phosphatase, non-receptor type 2"
5777,PTPN6,"protein tyrosine phosphatase, non-receptor type 6"
5781,PTPN11,"protein tyrosine phosphatase, non-receptor type 11"
5782,PTPN12,"protein tyrosine phosphatase, non-receptor type 12"
5783,PTPN13,"protein tyrosine phosphatase, non-receptor type 13 (APO-1/CD95 (Fas)-associated phosphatase)"
5788,PTPRC,"protein tyrosine phosphatase, receptor type, C"
5789,PTPRD,"protein tyrosine phosphatase, receptor type, D"
5795,PTPRJ,"protein tyrosine phosphatase, receptor type, J"
5796,PTPRK,"protein tyrosine phosphatase, receptor type, K"
5887,RAD23B,RAD23 homolog B (S. cerevisiae)
5889,RAD51C,RAD51 paralog C
5906,RAP1A,"RAP1A, member of RAS oncogene family"
5909,RAP1GAP,RAP1 GTPase activating protein
5915,RARB,"retinoic acid receptor, beta"
5920,RARRES3,retinoic acid receptor responder (tazarotene induced) 3
5925,RB1,retinoblastoma 1
5927,KDM5A,lysine (K)-specific demethylase 5A
5931,RBBP7,retinoblastoma binding protein 7
5932,RBBP8,retinoblastoma binding protein 8
5933,RBL1,retinoblastoma-like 1
5934,RBL2,retinoblastoma-like 2
5936,RBM4,RNA binding motif protein 4
5947,RBP1,"retinol binding protein 1, cellular"
6041,RNASEL,"ribonuclease L (2', 5'-oligoisoadenylate synthetase-dependent)"
6050,RNH1,ribonuclease/angiogenin inhibitor 1
6091,ROBO1,"roundabout, axon guidance receptor, homolog 1 (Drosophila)"
6117,RPA1,"replication protein A1, 70kDa"
6125,RPL5,ribosomal protein L5
6134,RPL10,ribosomal protein L10
6135,RPL11,ribosomal protein L11
6196,RPS6KA2,"ribosomal protein S6 kinase, 90kDa, polypeptide 2"
6273,S100A2,S100 calcium binding protein A2
6282,S100A11,S100 calcium binding protein A11
6288,SAA1,serum amyloid A1
6294,SAFB,scaffold attachment factor B
6297,SALL2,spalt-like transcription factor 2
6387,CXCL12,chemokine (C-X-C motif) ligand 12
6389,SDHA,"succinate dehydrogenase complex, subunit A, flavoprotein (Fp)"
6390,SDHB,"succinate dehydrogenase complex, subunit B, iron sulfur (Ip)"
6392,SDHD,"succinate dehydrogenase complex, subunit D, integral membrane protein"
6405,SEMA3F,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3F"
6416,MAP2K4,mitogen-activated protein kinase kinase 4
6422,SFRP1,secreted frizzled-related protein 1
6423,SFRP2,secreted frizzled-related protein 2
6424,SFRP4,secreted frizzled-related protein 4
6425,SFRP5,secreted frizzled-related protein 5
6477,SIAH1,siah E3 ubiquitin protein ligase 1
6498,SKIL,SKI-like proto-oncogene
6502,SKP2,"S-phase kinase-associated protein 2, E3 ubiquitin protein ligase"
6595,SMARCA2,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 2"
6596,HLTF,helicase-like transcription factor
6597,SMARCA4,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4"
6598,SMARCB1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily b, member 1"
6599,SMARCC1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily c, member 1"
6648,SOD2,"superoxide dismutase 2, mitochondrial"
6656,SOX1,SRY (sex determining region Y)-box 1
6664,SOX11,SRY (sex determining region Y)-box 11
6665,SOX15,SRY (sex determining region Y)-box 15
6672,SP100,SP100 nuclear antigen
6678,SPARC,"secreted protein, acidic, cysteine-rich (osteonectin)"
6688,SPI1,Spi-1 proto-oncogene
6711,SPTBN1,"spectrin, beta, non-erythrocytic 1"
6764,ST5,suppression of tumorigenicity 5
6767,ST13,suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)
6772,STAT1,"signal transducer and activator of transcription 1, 91kDa"
6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor)
6776,STAT5A,signal transducer and activator of transcription 5A
6793,STK10,serine/threonine kinase 10
6794,STK11,serine/threonine kinase 11
6850,SYK,spleen tyrosine kinase
6876,TAGLN,transgelin
6898,TAT,tyrosine aminotransferase
6910,TBX5,T-box 5
6924,TCEB3,"transcription elongation factor B (SIII), polypeptide 3 (110kDa, elongin A)"
6925,TCF4,transcription factor 4
6929,TCF3,transcription factor 3
6934,TCF7L2,"transcription factor 7-like 2 (T-cell specific, HMG-box)"
6997,TDGF1,teratocarcinoma-derived growth factor 1
7020,TFAP2A,transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)
7040,TGFB1,"transforming growth factor, beta 1"
7044,LEFTY2,left-right determination factor 2
7045,TGFBI,"transforming growth factor, beta-induced, 68kDa"
7048,TGFBR2,"transforming growth factor, beta receptor II (70/80kDa)"
7049,TGFBR3,"transforming growth factor, beta receptor III"
7053,TGM3,transglutaminase 3
7056,THBD,thrombomodulin
7057,THBS1,thrombospondin 1
7067,THRA,"thyroid hormone receptor, alpha"
7068,THRB,"thyroid hormone receptor, beta"
7070,THY1,Thy-1 cell surface antigen
7071,KLF10,Kruppel-like factor 10
7078,TIMP3,TIMP metallopeptidase inhibitor 3
7128,TNFAIP3,"tumor necrosis factor, alpha-induced protein 3"
7157,TP53,tumor protein p53
7158,TP53BP1,tumor protein p53 binding protein 1
7159,TP53BP2,tumor protein p53 binding protein 2
7161,TP73,tumor protein p73
7182,NR2C2,"nuclear receptor subfamily 2, group C, member 2"
7184,HSP90B1,"heat shock protein 90kDa beta (Grp94), member 1"
7248,TSC1,tuberous sclerosis 1
7249,TSC2,tuberous sclerosis 2
7251,TSG101,tumor susceptibility 101
7262,PHLDA2,"pleckstrin homology-like domain, family A, member 2"
7268,TTC4,tetratricopeptide repeat domain 4
7270,TTF1,"transcription termination factor, RNA polymerase I"
7290,HIRA,histone cell cycle regulator
7345,UCHL1,ubiquitin carboxyl-terminal esterase L1 (ubiquitin thiolesterase)
7403,KDM6A,lysine (K)-specific demethylase 6A
7405,UVRAG,UV radiation resistance associated
7421,VDR,"vitamin D (1, 25- dihydroxyvitamin D3) receptor"
7422,VEGFA,vascular endothelial growth factor A
7428,VHL,"von Hippel-Lindau tumor suppressor, E3 ubiquitin protein ligase"
7429,VIL1,villin 1
7431,VIM,vimentin
7447,VSNL1,visinin-like 1
7462,LAT2,"linker for activation of T cells family, member 2"
7474,WNT5A,"wingless-type MMTV integration site family, member 5A"
7476,WNT7A,"wingless-type MMTV integration site family, member 7A"
7481,WNT11,"wingless-type MMTV integration site family, member 11"
7490,WT1,Wilms tumor 1
7520,XRCC5,X-ray repair complementing defective repair in Chinese hamster cells 5 (double-strand-break rejoining)
7538,ZFP36,ZFP36 ring finger protein
7545,ZIC1,Zic family member 1
7703,PCGF2,polycomb group ring finger 2
7704,ZBTB16,zinc finger and BTB domain containing 16
7739,ZNF185,zinc finger protein 185 (LIM domain)
7791,ZYX,zyxin
7799,PRDM2,"PR domain containing 2, with ZNF domain"
7832,BTG2,"BTG family, member 2"
7869,SEMA3B,"sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3B"
7879,RAB7A,"RAB7A, member RAS oncogene family"
7941,PLA2G7,"phospholipase A2, group VII (platelet-activating factor acetylhydrolase, plasma)"
7965,AIMP2,aminoacyl tRNA synthetase complex-interacting multifunctional protein 2
7980,TFPI2,tissue factor pathway inhibitor 2
7982,ST7,suppression of tumorigenicity 7
8013,NR4A3,"nuclear receptor subfamily 4, group A, member 3"
8031,NCOA4,nuclear receptor coactivator 4
8065,CUL5,cullin 5
8099,CDK2AP1,cyclin-dependent kinase 2 associated protein 1
8100,IFT88,intraflagellar transport 88
8125,ANP32A,"acidic (leucine-rich) nuclear phosphoprotein 32 family, member A"
8190,MIA,melanoma inhibitory activity
8289,ARID1A,AT rich interactive domain 1A (SWI-like)
8312,AXIN1,axin 1
8313,AXIN2,axin 2
8314,BAP1,BRCA1 associated protein-1 (ubiquitin carboxy-terminal hydrolase)
8379,MAD1L1,MAD1 mitotic arrest deficient-like 1 (yeast)
8404,SPARCL1,SPARC-like 1 (hevin)
8405,SPOP,speckle-type POZ protein
8406,SRPX,"sushi-repeat containing protein, X-linked"
8431,NR0B2,"nuclear receptor subfamily 0, group B, member 2"
8434,RECK,reversion-inducing-cysteine-rich protein with kazal motifs
8437,RASAL1,RAS protein activator like 1 (GAP1 like)
8453,CUL2,cullin 2
8454,CUL1,cullin 1
8554,PIAS1,"protein inhibitor of activated STAT, 1"
8567,MADD,MAP-kinase activating death domain
8572,PDLIM4,PDZ and LIM domain 4
8577,TMEFF1,transmembrane protein with EGF-like and two follistatin-like domains 1
8626,TP63,tumor protein p63
8633,UNC5C,unc-5 homolog C (C. elegans)
8635,RNASET2,ribonuclease T2
8643,PTCH2,patched 2
8650,NUMB,numb homolog (Drosophila)
8651,SOCS1,suppressor of cytokine signaling 1
8665,EIF3F,"eukaryotic translation initiation factor 3, subunit F"
8678,BECN1,"beclin 1, autophagy related"
8682,PEA15,phosphoprotein enriched in astrocytes 15
8711,TNK1,"tyrosine kinase, non-receptor, 1"
8726,EED,embryonic ectoderm development
8742,TNFSF12,"tumor necrosis factor (ligand) superfamily, member 12"
8744,TNFSF9,"tumor necrosis factor (ligand) superfamily, member 9"
8772,FADD,Fas (TNFRSF6)-associated via death domain
8784,TNFRSF18,"tumor necrosis factor receptor superfamily, member 18"
8788,DLK1,delta-like 1 homolog (Drosophila)
8795,TNFRSF10B,"tumor necrosis factor receptor superfamily, member 10b"
8797,TNFRSF10A,"tumor necrosis factor receptor superfamily, member 10a"
8805,TRIM24,tripartite motif containing 24
8821,INPP4B,"inositol polyphosphate-4-phosphatase, type II, 105kDa"
